Location,Address,City,Country,Long,Lat,Description,Photo,Type,LocationURL,Source
Strand Bookstore,"828 Broadway, New York, NY 10003","New York, NY",US,40.73332,-73.99096,"This over-80-year-old establishment houses thousands of discounted new and used titles, rare books, and hard-to-find art and photography books. A total classic.",https://s26895.pcdn.co/wp-content/uploads/the-strand-10.jpg,Bookstore,https://www.strandbooks.com,Experience
McNally Jackson Independent Booksellers,"52 Prince St, New York, NY 10012","New York, NY",US,40.72337,-73.99827,"The best literary hot spot boasts a warm atmosphere, well-curated selection and convivial café. It also has the city’s first Espresso Book Machine, which prints a growing number of texts on demand.",https://www.mcnallyjackson.com/sites/mcnallyjackson.com/files/STORE_0.jpg,Bookstore,https://www.mcnallyjackson.com/,Experience
"Housing Works Bookstore Cafe, Crosby Street, New York, NY","126 Crosby St, New York, NY 10012","New York, NY",US,40.72457,-73.99868,"Smell of old books, the balcony, people writing books and plays, a very diverse selection, a bustling café, a good cause—New York, this is your bookstore.",https://igx.4sqi.net/img/general/600x600/184215_Qv1NycrdgqpAqz6uZ1OT56dapNPvct48knFRj4-cnF0.jpg,Bookstore,https://www.housingworks.org/locations/bookstore-café,Experience
Theodore M. Hesburgh Library,"221 Hesburgh Library, Notre Dame, IN 46556","Notre Dame, IN",US,41.7023579,-86.2363832,"Size: 3,000,000+ books, 3,000,000+ microform units, 34,000+ electronic titles, 28,850+ audiovisual items",https://amp.businessinsider.com/images/579bb64add0895ce188b49bc-750-314.jpg,Library,https://library.nd.edu/,Business Insider
The Wilmington Public Library,"10 E 10th St, Wilmington, DE 19801","Wilmington, DE",US,39.745197,-75.5496617,"The Wilmington Public Library was founded in the late 18th century. The building has been renovated several times since, though the facade retains its regal aesthetic.",https://amp.businessinsider.com/images/579bb64add0895ce188b49b6-1334-522.jpg,Library,https://wilmington.lib.de.us/,Business Insider
Vermont Book Shop,38 Main St,"Middlebury, VT",US,44.01398,-73.16856,"The owners here say Vermont Book Shop was a favorite of poet Robert Frost—yes, four-time Pulitzer Prize winner, Robert Frost—and though they’ve been loath to change, the shop has undergone some changes since his day. From the outside, the brick store front with its striped awning looks like a Hallmark card classic. Inside, though—and especially on the shop’s online store—the owners have made nods to modernity, keeping close tabs on national trends, offering audiobooks, and giving discounts for large online purchases. Look at the weekly schedule for talks with authors and other events.",,Bookstore,,Culture Trip
Crow Bookshop,14 Church St,"Burlington, VT",US,44.48009,-73.2126,"Classic, classy, warm and inviting—Crow Bookshop is the kind of store you just want to walk in, even if you’ve no intention of buying a book (though we can’t image such a scenario). This downtown Burlington store has old world charm even though it’s only been open since 1995. Inside, the shelves are lined with new and used books (the owner occasionally trades for used books) you can read in over-sized leather couches or—as sometimes seen—crouched upon the floor. Not interested in reading but cognizant that the bookish vibe is totally in? There’s pint glasses and tote bags emblazoned with crows.",,Bookstore,,Culture Trip
Speaking Volumes Books,"377 Pine St., Burlington, VT, USA","Burlington, VT",US,44.46876,-73.21634,"The pre-internet days of analog reign at this central Burlington used bookstore, where customers appear to be as interested in American bed & breakfast cookbooks as stereo repairs. That at least is the conceit behind Speaking Volumes Books, a used book shop with titles on as many topics as one could want, vinyl and art for sale, as well as the occasional live band performance. If the predictability of books at your average independent bookstore doesn’t excite you, consider the hunt for old titles, crumbling encyclopedias, and treatises on everything from folk medicine to bears.",,Bookstore,,Culture Trip
Phoenix Books,"191 Bank St., Burlington, VT, USA","Burlington, VT",US,44.47807,-73.21178,"Success—or at least multiple stores—need not be the arbiter of independence, as this regional bookstore shows. Phoenix, with multiple locations around Vermont, boasts the combination of new titles and community involvement (everything from tarot readings to literacy drives) expected from a local purveyor of the written word. With staff recommendations, e-books, works from local authors, and a periodic discussions with writers, Phoenix is well worth a stop.",,Bookstore,,Culture Trip
Northshire Bookstore,"4869 Main St., Manchester Center, VT, USA, ","Manchester, VT",US,43.17683,-73.05728,"Northshire Bookstore, 4869 Main St., Manchester Center, VT, USA",,Bookstore,,Culture Trip
